codigo_ocorrencia,aeronave_matricula,aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_pmd,aeronave_pmd_categoria,aeronave_assentos,aeronave_ano_fabricacao,aeronave_pais_fabricante,aeronave_pais_registro,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_fase_operacao_icao,aeronave_tipo_operacao,aeronave_nivel_dano,total_fatalidades,aeronave_dia_extracao
201805211843347,PTOKI,OPERADOR PARTICULAR,AVI√O,CESSNA AIRCRAFT,182Q,C182,PIST√O,MONOMOTOR,1338,AT… 2250 KG,4,1979,ESTADOS UNIDOS,BRASIL,TPP,PARTICULAR,SSVA,****,POUSO,LANDING,VOO PRIVADO,LEVE,0,5/31/2019
201609241244446,PUBRA,OPERADOR PARTICULAR,ULTRALEVE,FABRICACAO PROPRIA,EXPERIMENTAL,ULAC,PIST√O,MONOMOTOR,0,***,0,0,N√O IDENTIFICADO,BRASIL,PET,EXPERIMENTAL,SWNS,SWNS,ESTACIONAMENTO,STANDING,VOO EXPERIMENTAL,LEVE,0,5/31/2019
201304221383324,PUBRA,OPERADOR PARTICULAR,ULTRALEVE,FABRICACAO PROPRIA,EXPERIMENTAL,ULAC,PIST√O,MONOMOTOR,0,***,0,0,N√O IDENTIFICADO,BRASIL,PET,EXPERIMENTAL,****,****,INDETERMINADA,UNKNOWN,VOO EXPERIMENTAL,SUBSTANCIAL,0,5/31/2019
201304253918208,PTCDI,OPERADOR PARTICULAR,AVI√O,CESSNA AIRCRAFT,182G,C182,PIST√O,MONOMOTOR,1270,AT… 2250 KG,4,1964,ESTADOS UNIDOS,BRASIL,TPP,PARTICULAR,SSPN,SSCI,CRUZEIRO,EN ROUTE,VOO PRIVADO,SUBSTANCIAL,0,5/31/2019
201304303212384,PRVAR,OPERADOR PARTICULAR,AVI√O,AIR TRACTOR,AT-502B,AT5T,TURBOHELICE,MONOMOTOR,3629,ENTRE 2250 E 5700 KG,1,2012,ESTADOS UNIDOS,BRASIL,TPP,PARTICULAR,****,****,ESPECIALIZADA,MANEUVERING,OPERA«√O AGRÕCOLA,DESTRU√çDA,1,5/31/2019
201305024852530,PPEIH,ORG√O P√öBLICO,HELICOPTERO,EUROCOPTER FRANCE,AS 350 BA,AS50,TURBOEIXO,MONOMOTOR,2100,AT… 2250 KG,6,1983,FRAN«A,BRASIL,ADE,ADMINISTRA«√O DIRETA,****,****,DECOLAGEM,TAKEOFF,OPERA«√O POLICIAL,SUBSTANCIAL,0,5/31/2019
201305077988408,PPPMC,OPERADOR PARTICULAR,AVI√O,CESSNA AIRCRAFT,TU206G,C206,PIST√O,MONOMOTOR,1633,AT… 2250 KG,6,1981,ESTADOS UNIDOS,BRASIL,TPP,PARTICULAR,SWRD,****,T¡XI,TAXI,VOO PRIVADO,SUBSTANCIAL,0,5/31/2019
201508061245849,PTIXF,OPERADOR DE AERONAVE,AVI√O,BEECH AIRCRAFT,A36,BE36,PIST√O,MONOMOTOR,1633,AT… 2250 KG,6,1973,ESTADOS UNIDOS,BRASIL,TPX,T¡XI A…REO,SNMA,SBSN,POUSO,LANDING,T¡XI A…REO,NENHUM,0,5/31/2019
201305097480172,PTHPK,ESCOLA DE AVIA«√O,HELICOPTERO,ROBINSON HELICOPTER,R22 BETA,R22,PIST√O,MONOMOTOR,621,AT… 2250 KG,2,1991,ESTADOS UNIDOS,BRASIL,PRI,INSTRU«√O,SBMT,SBMT,MANOBRA,MANEUVERING,VOO DE INSTRU«√O,SUBSTANCIAL,0,5/31/2019
201307185697556,PPONE,OPERADOR PARTICULAR,AVI√O,LEARJET,60,LJ60,JATO,BIMOTOR,10660,ACIMA DE 5700 KG,9,0,CANAD√Å,BRASIL,TPP,PARTICULAR,****,****,DECOLAGEM,TAKEOFF,VOO PRIVADO,SUBSTANCIAL,0,5/31/2019
201503162058424,PTIGQ,OPERADOR PARTICULAR,AVI√O,BEECH AIRCRAFT,V35B,BE35,PIST√O,MONOMOTOR,1542,AT… 2250 KG,6,1973,ESTADOS UNIDOS,BRASIL,TPP,PARTICULAR,SNAS,SBMK,CORRIDA APOS POUSO,LANDING,VOO PRIVADO,SUBSTANCIAL,0,5/31/2019
